cell,cell,batch,leiden,Individual,Technology,Brain Region,AD Index,Total Methylome Reads,Overall Adjusted mCG%,Overall Adjusted mCH%,Overall mCCC%,tsne_0,tsne_1,umap_0,umap_1,pca_0,pca_1,pca_2,pca_3,MajorCluster,ClusterAnno,MajorType,ClusterAnnoHuslColor,ClusterAnnoTab10Color,SubCluster,SubClusterAnno,m3c_cluster
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD001,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD001,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD001,1953378.0,0.7543663518302318,0.04603578363228696,0.014821463089924726,-10.007338207353582,12.833457461883098,-1.2494278753477583,7.35515377672078,0.5481453432079604,0.07901599253421022,-0.2782551236151658,0.012798671122899728,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,1,Exc L1-3 CUX2 1,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD004,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD004,824112.0,0.7599226931127047,0.05805945883506384,0.02249041184710337,-8.73413988085366,4.287236573862581,2.586493968256463,8.654148162084134,0.3562237337286165,0.07587653941518784,-0.17088255087942425,-0.019674708660897853,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD006,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD006,snm3C-seq,22,UMB5577,snm3C-seq,BA10,AD006,2477939.0,0.7750576935769122,0.052875785877757236,0.018411342055690484,-15.327559710219477,24.494837763154827,0.9100775637557528,4.615652909371585,0.4371564619707577,0.005840091870435946,-0.38171922855012336,0.003998704844890086,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,1,Exc L1-3 CUX2 1,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD007,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD007,2466275.0,0.7519830324649812,0.010352340443160687,0.008120829175906353,-37.47466171450201,-22.77108730958624,26.178576941222115,14.458633048587265,-0.4834690570915909,0.4620921404971472,-0.03882030826264897,-0.1212311598384031,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,1,NonN Oligo MBP 1,M3C NonN Oligo MBP MOBP
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD008,snm3C-seq,2,UMB5577,snm3C-seq,BA10,AD008,2127511.0,0.7540336117356229,0.03854496549250679,0.012743822044353249,-14.893152419288059,18.164398848658834,-0.8847903880812885,5.632069205234117,0.4844310186556888,0.06723188876638025,-0.4540218165418854,0.009750767985640209,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,1,Exc L1-3 CUX2 1,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD010,snm3C-seq,5,UMB5577,snm3C-seq,BA10,AD010,2244357.0,0.8195935542161009,0.06858509814366452,0.018002677549435568,20.737874543380485,-37.35887938563067,38.06911359590029,10.592035061243532,-0.33871238811173393,-0.4568921434742212,0.010339839495395693,-0.36590130976215396,6,Inh MGE CALB1,Inh,#73c4cb,#af8981,2,Inh MGE CALB1 2,M3C Inh MGE SST
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD012,snm3C-seq,23,UMB5577,snm3C-seq,BA10,AD012,2247669.0,0.7995843702573292,0.07046060642037984,0.01858944389156554,9.80440191990691,-11.625625934883162,17.859765829469765,30.293123755709182,0.3324933435652103,0.05312113870963615,0.5222160331459383,0.07869528365380526,18,Exc L4-5 TOX,Exc,#40812c,#9a2526,0,Exc L4-5 TOX 0,M3C Exc L5-6 PDZRN4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD002,snm3C-seq,4,UMB5577,snm3C-seq,BA10,AD002,1716930.0,0.7905142739847155,0.01949935987664363,0.009225872230373262,7.977373192282284,41.07733967910996,25.143230558705064,4.783299674463479,-0.5617173544171096,0.3878658575254533,-0.04724046381105428,0.10644498372057651,7,NonN Astro FGF3R,NonN,#c053a7,#959622,0,NonN Astro FGF3R 0,M3C NonN Astro FGF3R
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD004,snm3C-seq,2,UMB5577,snm3C-seq,BA10,AD004,2601475.0,0.7871156927515219,0.0466422553236873,0.014228773111624375,-22.303604572710807,21.407036801730182,-0.2545420639877994,3.978880331869509,0.3421307020151962,-0.10009890082650127,-0.4237806871043479,0.09999499079365418,10,Exc L1-3 CUX2,Exc,#f67088,#1f77b4,2,Exc L1-3 CUX2 2,M3C Exc L1-3 CUX2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD006,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD006,snm3C-seq,10,UMB5577,snm3C-seq,BA10,AD006,1896684.0,0.7839449346682504,0.07433709342562728,0.02013657130796465,-22.30133092525376,44.780220348541974,27.56238871174656,23.33843336406782,0.47153586642940537,-0.016710574629406706,0.44069304071680626,-0.12173810113031805,3,Exc L4-6 LRRK1,Exc,#a39f31,#2ca02c,1,Exc L4-6 LRRK1 1,M3C Exc L4-6 LRRK1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD010,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD010,1968476.0,0.7789677601246194,0.01190292127217437,0.008729550634920126,-19.826726225352395,-9.706538701621646,22.825305590691023,13.065514976496118,-0.32719350678721576,0.23971549725826224,0.029858391088607158,-0.132066475432965,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD012,snm3C-seq,12,UMB5577,snm3C-seq,BA10,AD012,1836323.0,0.7850080875338866,0.038511521861942094,0.012209278210518005,-68.10127425758101,6.932660012141871,-4.050599140011721,23.235263026736234,-0.007212299273597468,-0.018358264026982974,0.18718869646991623,-0.04451611394899402,11,Exc L6 TLE4,Exc,#34ae90,#9467bd,2,Exc L6 TLE4 2,M3C Exc L6 TLE4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD001,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD001,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD001,1691347.0,0.7637770897832817,0.012105871991317971,0.008080001995062222,-16.797681023405413,-22.42677230761859,25.79832262307266,13.903469441624214,-0.49514578103032686,0.36936625891721436,-0.01913284947593559,-0.07993766720931296,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD002,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD002,1875916.0,0.7668295429119963,0.009615117385278116,0.006376659911293765,-35.84946498703025,-23.022711075569646,26.159902143112536,14.02668768267986,-0.5231007248920726,0.463232815209723,-0.015057963785499867,-0.1112267016507135,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD004,snm3C-seq,18,UMB5577,snm3C-seq,BA10,AD004,1826282.0,0.7827368732743055,0.009251891126334141,0.007282516753595214,-18.538339797098914,-12.052546132690122,23.215740449302128,12.682708586508676,-0.23137410775243009,0.24861019381700375,-0.024888764948910118,-0.10719300918212524,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
